Date, TxHash, Type, Amount
2018-01-18T02:59:52Z, 8be86d7283857022799f9fe8049fae1d902ef2dccac614b1f299db311e1ce3ea, SENT, -0.15
2018-01-18T02:37:26Z, 72825a2a16c36c324f70677f1077c11bb945445222a0e5b6680a911dab304af0, RECEIVE, 0.15
2018-01-18T01:56:04Z, 705d22dabdb6ba0dfa30a3152813bce200f507e17d68e9d1ecd702c5f51240bd, SENT, -0.00855549
2018-01-18T01:50:26Z, dd02aed41f42db3754a3203f4db8d21e82fd24cb809fcb0849695afb6f9ec366, SENT, -0.0069
2018-01-18T01:50:26Z, c604f531cf08cdb81f5597c19f3cbe9495d13371f67e38d812dc06f637b1790f, RECEIVE, 0.00855549
2018-01-18T01:33:16Z, 8fe417d89e89c32e4a500f4fca4ff9a7ff31f7bb10b1429fdf68245c54b60889, RECEIVE, 0.0069
2018-01-18T01:05:32Z, 36eda8c6cd71a487f74f130e51f159b0e7ead6d192c807a0f7971b33533912d8, SENT, -0.02
2018-01-18T00:54:59Z, c68ea8b5380f4382459e9df38bb31925725a21a31b35e785960a11509c096101, RECEIVE, 0.02
